id_empresa,empresa,ano,Desc,Yıllık,9 Aylık,6 Aylık,3 Aylık
6,SAHOL,2013,Dönen Varlıklar,105134288000.0,103513273000.0,93850250000.0,90690272000.0
6,SAHOL,2013,  Nakit ve Nakit Benzerleri,5566531000.0,7556368000.0,6758761000.0,8811850000.0
6,SAHOL,2013,  Finansal Yatırımlar,16993146000.0,12513036000.0,13045837000.0,7141221000.0
6,SAHOL,2013,  Ticari Alacaklar,1211220000.0,1406831000.0,1276791000.0,1094996000.0
6,SAHOL,2013,  Finans Sektörü Faaliyetlerinden Alacaklar,59416942000.0,58863369000.0,54588262000.0,53476314000.0
6,SAHOL,2013,  Diğer Alacaklar,611929000.0,657647000.0,941623000.0,795768000.0
6,SAHOL,2013,  Müşteri Sözleşmelerinden Doğan Varlıklar,,,,0.0
6,SAHOL,2013,  Stoklar,1883451000.0,1802544000.0,1545890000.0,1450749000.0
6,SAHOL,2013,  Canlı Varlıklar,0.0,0.0,0.0,0.0
6,SAHOL,2013,  Diğer Dönen Varlıklar,19421101000.0,20683221000.0,15702952000.0,17937308000.0
6,SAHOL,2013,    (Ara Toplam),105104320000.0,103483016000.0,93860116000.0,90708206000.0
6,SAHOL,2013,  Satış Amacıyla Elde Tutulan Duran Varlıklar,29968000.0,30257000.0,-9866000.0,-17934000.0
6,SAHOL,2013,Duran Varlıklar,101436531000.0,99031598000.0,91845600000.0,82208814000.0
6,SAHOL,2013,  Ticari Alacaklar,41189000.0,39494000.0,32252000.0,19382000.0
6,SAHOL,2013,  Finans Sektörü Faaliyetlerinden Alacaklar,59706203000.0,55231204000.0,50697193000.0,43457804000.0
6,SAHOL,2013,  Diğer Alacaklar,45679000.0,50861000.0,30290000.0,22223000.0
6,SAHOL,2013,  Müşteri Sözleşmelerinden Doğan Varlıklar,,,,0.0
6,SAHOL,2013,  Finansal Yatırımlar,30418270000.0,33089494000.0,32733505000.0,30743794000.0
6,SAHOL,2013,  Özkaynak Yöntemiyle Değerlenen Yatırımlar,4960899000.0,5119113000.0,4196639000.0,4055402000.0
6,SAHOL,2013,  Canlı Varlıklar,0.0,0.0,0.0,0.0
6,SAHOL,2013,  Yatırım Amaçlı Gayrimenkuller,348788000.0,328867000.0,104639000.0,105609000.0
6,SAHOL,2013,  Stoklar,0.0,0.0,0.0,0.0
6,SAHOL,2013,  Kullanım Hakkı Varlıkları,,,,0.0
6,SAHOL,2013,  Maddi Duran Varlıklar,3898832000.0,3793343000.0,3137241000.0,3111856000.0
6,SAHOL,2013,  Şerefiye,478935000.0,503142000.0,181650000.0,181649000.0
6,SAHOL,2013,  Maddi Olmayan Duran Varlıklar,305758000.0,290824000.0,234799000.0,245482000.0
6,SAHOL,2013,  Ertelenmiş Vergi Varlığı,495383000.0,471495000.0,402264000.0,140449000.0
6,SAHOL,2013,  Diğer Duran Varlıklar,736595000.0,113761000.0,95128000.0,125164000.0
6,SAHOL,2013,TOPLAM VARLIKLAR,206570819000.0,202544871000.0,185695850000.0,172899086000.0
6,SAHOL,2013,KAYNAKLAR,0.0,0.0,0.0,0.0
6,SAHOL,2013,Kısa Vadeli Yükümlülükler,150872625000.0,150001315000.0,137285889000.0,125974601000.0
6,SAHOL,2013,  Finansal Borçlar,18325700000.0,17381627000.0,15079227000.0,14771327000.0
6,SAHOL,2013,  Diğer Finansal Yükümlülükler,0.0,0.0,0.0,0.0
6,SAHOL,2013,  Ticari Borçlar,1918494000.0,1579767000.0,1323167000.0,1151952000.0
6,SAHOL,2013,  Diğer Borçlar,3911097000.0,3883151000.0,3453169000.0,3820738000.0
6,SAHOL,2013,  Müşteri Söz. Doğan Yük.,,,,0.0
6,SAHOL,2013,  Finans Sektörü Faaliyetlerinden Borçlar,123368888000.0,123842243000.0,115761496000.0,104214254000.0
6,SAHOL,2013,  Devlet Teşvik ve Yardımları,0.0,0.0,0.0,0.0
6,SAHOL,2013,  Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),,,,0.0
6,SAHOL,2013,  Dönem Karı Vergi Yükümlülüğü,104128000.0,85214000.0,49918000.0,302513000.0
6,SAHOL,2013,  Borç Karşılıkları,613596000.0,436282000.0,319408000.0,0.0
6,SAHOL,2013,  Diğer Kısa Vadeli Yükümlülükler,2630722000.0,2793031000.0,1299504000.0,1713817000.0
6,SAHOL,2013,    (Ara Toplam),150872625000.0,150001315000.0,137285889000.0,125974601000.0
6,SAHOL,2013,  Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,0.0,0.0,0.0,0.0
6,SAHOL,2013,Uzun Vadeli Yükümlülükler,23683537000.0,20777856000.0,17952334000.0,16366002000.0
6,SAHOL,2013,  Finansal Borçlar,11905902000.0,10912759000.0,11029030000.0,10457704000.0
6,SAHOL,2013,  Diğer Finansal Yükümlülükler,0.0,0.0,0.0,0.0
6,SAHOL,2013,  Ticari Borçlar,596000.0,1707000.0,9855000.0,371000.0
6,SAHOL,2013,  Diğer Borçlar,33215000.0,32264000.0,17628000.0,23774000.0
6,SAHOL,2013,  Müşteri Söz.Doğan Yük.,,,,0.0
6,SAHOL,2013,  Finans Sektörü Faaliyetlerinden Borçlar,11318200000.0,9439524000.0,6401984000.0,5307094000.0
6,SAHOL,2013,  Devlet Teşvik ve Yardımları,0.0,0.0,0.0,0.0
6,SAHOL,2013,  Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),,,,0.0
6,SAHOL,2013,    Uzun vadeli karşılıklar,177240000.0,191718000.0,155836000.0,0.0
6,SAHOL,2013,  Çalışanlara Sağlanan Faydalara İliş.Karş.,0.0,0.0,0.0,139647000.0
