CompanyCode,Ano,  Investimentos em Capital Fixo,(Subtotal),Ajuste de Capital de Participação Mútua (-),Ajustes:,Amortização e Quotas de Exaustão,Ativo Fiscal Diferido,Ativos Circulantes,Ativos Imobilizados,Ativos Intangíveis,Ativos Não Circulantes,Ativos Não Circulantes Mantidos para Venda,Ativos de Direito de Uso,Aumento/Diminuição Líquido de Caixa e Equivalentes de Caixa Antes do Efeito das Diferenças de Conversão de Moeda Estrangeira,Caixa Gerado por Atividades Principais (+),Caixa e Equivalentes de Caixa,Caixa no Final do Período,Capital Social Integralizado,Contas a Pagar,Contas a Receber,Custo dos Produtos/Serviços Vendidos (-),Despesas Financeiras,Despesas Financeiras (Não Operacionais) (-),Despesas Gerais e Administrativas (-),Despesas de Amortização,Despesas de Atividades de Investimento (-),"Despesas de Marketing, Vendas e Distribuição (-)",Despesas de Pesquisa e Desenvolvimento (-),Diferenças de Conversão de Moeda Estrangeira,Dívidas Financeiras,Efeito das Diferenças de Conversão de Moeda Estrangeira sobre o Caixa e Equivalentes de Caixa,Estoques,Fluxo de Caixa Livre,Fluxo de Caixa Líquido das Atividades Operacionais,Fluxo de Caixa das Atividades de Financiamento,Fluxo de Caixa das Atividades de Investimento,Fluxo de Caixa de Outras Atividades Operacionais,Fluxo de Caixa de Outras Atividades de Financiamento,Fluxo de Caixa de Outras Atividades de Investimento,Fundos de Reavaliação / Valorização,Goodwill,Imóveis de Investimento,Indenização por Antiguidade,Investimentos Avaliados pelo Método da Equivalência Patrimonial,Investimentos Financeiros,LUCRO (PREJUÍZO) DO PERÍODO,LUCRO BRUTO (PREJUÍZO),LUCRO OPERACIONAL (PREJUÍZO),LUCRO/PREJUÍZO LÍQUIDO DO PERÍODO DAS OPERAÇÕES CONTINUADAS,Lucro (Prejuízo) do Período Após Imposto das Operações Descontinuadas,Lucro Antes dos Ajustes,Lucro Bruto (Prejuízo) de Atividades Comerciais,Lucro Operacional Antes das Mudanças no Capital de Giro (+),Lucro por Ação,Lucro por Ação Diluído,Lucro por Ação Diluído de Operações Continuadas,Lucro por Ação de Operações Continuadas,Lucro/Prejuízo Líquido do Período,Lucro/Prejuízo Operacional Antes das Despesas Financeiras,Lucro/Prejuízo Operacional Líquido,Lucros/Prejuízos Acumulados,Mudança nas Provisões,Mudanças no Capital de Giro,Obrigações Fiscais sobre o Lucro do Período,Outras Despesas Operacionais (-),Outras Dívidas,Outras Obrigações Financeiras,Outras Receitas Operacionais,Outras Receitas e Despesas Antes do Imposto,Outras Receitas/Despesas,Outros Ativos Circulantes,Outros Ativos Não Circulantes,Outros Itens do Patrimônio Líquido,Outros Passivos Circulantes,Outros Passivos Não Circulantes,Outros Recebíveis,Pagamento de Dividendos,Participação nos Lucros/Prejuízos de Investimentos Avaliados pelo Método da Equivalência Patrimonial,Participações da Controladora,Participações de Não Controladores,Passivo Fiscal Diferido,Passivos Circulantes,Passivos Não Circulantes,Passivos de Contratos com Clientes,Patrimônio Líquido,Patrimônio Líquido Atribuível aos Acionistas da Controladora,Posição Cambial Líquida,Posição Cambial Líquida (Incluindo Hedge),Posição Líquida (Ativo/Passivo) Monetária em Moeda Estrangeira,Provisões de Longo Prazo,Provisões para Benefícios a Empregados,Provisões para Dívidas,Receita (Despesa) de Imposto Diferido,Receita (Despesa) de Imposto das Operações Continuadas,Receita (Despesa) de Imposto do Período,Receita de Vendas,Receitas Diferidas (Exceto Passivos de Contratos com Clientes),Receitas Financeiras (Não Operacionais),Receitas de Atividades de Investimento,Reservas Restritas Separadas do Lucro,Reservas de Capital de Emissão de Ações,TOTAL DE ATIVOS,TOTAL DO PASSIVO E PATRIMÔNICO LÍQUIDO,Valores de Caixa no Início do Período,Variação nas Dívidas Financeiras,Variação no Caixa e Equivalentes,Vendas Domésticas,Vendas Internacionais
ADEL,2008,,27018810.5,0.0,,,0.0,45582654.0,14716940.0,59884.0,15170747.0,0.0,,,,12278966.0,,7875000.0,658880.0,1732209.5,-36969117.0,-4467984.0,-4467984.0,-9045449.0,1438882.0,,-9038311.0,0.0,0.0,1732469.5,,13475416.0,,,,,,,,0.0,0.0,0.0,23657.0,0.0,137640.0,13716498.0,37818695.0,20780514.0,13716498.0,0.0,,37818695.0,,2.0,0.0,0.0,0.0,13716499.0,,19734935.0,11483129.0,,,0.0,-1030166.0,597917.5,0.0,2075745.0,0.0,,2870280.0,60072.0,13374985.0,2404738.0,0.0,38364.0,,0.0,13716498.0,0.0,240032.0,8454967.0,2891157.0,,49407277.0,49407277.0,-1977267.0,,,0.0,2651125.0,71695.0,165930.0,-3107222.0,-3273152.0,74787812.0,,511190.0,,2957664.0,0.0,60753401.0,60753401.0,,,,87260709.0,4865016.0
ADEL,2009,,27018810.5,0.0,,,0.0,45582654.0,14716940.0,59884.0,15170747.0,0.0,,,,12278966.0,,7875000.0,658880.0,1732209.5,-36969117.0,-4467984.0,-4467984.0,-9045449.0,1438882.0,,-9038311.0,0.0,0.0,1732469.5,,13475416.0,,,,,,,,0.0,0.0,0.0,23657.0,0.0,137640.0,13716498.0,37818695.0,20780514.0,13716498.0,0.0,,37818695.0,,2.0,0.0,0.0,0.0,13716499.0,,19734935.0,11483129.0,,,0.0,-1030166.0,597917.5,0.0,2075745.0,0.0,,2870280.0,60072.0,13374985.0,2404738.0,0.0,38364.0,,0.0,13716498.0,0.0,240032.0,8454967.0,2891157.0,,49407277.0,49407277.0,-1977267.0,,,0.0,2651125.0,71695.0,165930.0,-3107222.0,-3273152.0,74787812.0,,511190.0,,2957664.0,0.0,60753401.0,60753401.0,,,,87260709.0,4865016.0
ADEL,2010,,33872750.5,0.0,,,0.0,58621451.0,13861696.0,125804.0,14424814.0,0.0,,,,23356948.0,,7875000.0,738391.0,2596836.0,-45050840.0,-2562968.0,-2562968.0,-7589462.0,1403045.0,,-11953725.0,0.0,0.0,1451071.5,,12923503.0,,,,,,,,0.0,0.0,0.0,480984.0,0.0,116992.5,16600678.0,42738773.0,22939135.0,16600678.0,0.0,,42738773.0,,2.0,0.0,0.0,2.0,16600678.0,,23195586.0,18320837.0,,,0.0,-1076721.0,545239.0,0.0,820270.0,0.0,,4188201.0,48000.0,13374985.0,3582952.0,90805.0,95476.5,,0.0,16600678.0,0.0,0.0,9124050.0,3021037.0,,60901178.0,60901178.0,-2000179.0,,,0.0,2930232.0,71695.0,149227.0,-4197093.0,-4346320.0,87789613.0,,421604.0,,4729678.0,0.0,73046265.0,73046265.0,,,,104427004.0,5399918.0
ADEL,2011,,43914250.0,0.0,,,113998.0,75550839.0,14762743.0,145293.0,15481001.0,0.0,,,,32365348.0,,7875000.0,1148007.5,4467178.5,-56331016.0,-2482437.0,-2482437.0,-9018396.0,1475577.0,,-15879110.0,-7870.0,0.0,1881790.0,,13891455.5,,,,,,,,0.0,0.0,0.0,824494.0,0.0,116992.5,21735688.0,55053355.0,28733473.0,21735688.0,0.0,,55053355.0,,3.0,0.0,0.0,0.0,21735688.0,,30147979.0,26853310.0,,,0.0,-1717388.0,615901.0,0.0,302882.0,0.0,,6437733.0,36000.0,13374985.0,4914569.0,0.0,109736.0,,0.0,21735688.0,0.0,0.0,12277661.0,3465092.0,,75289087.0,75289087.0,3124046.0,,,0.0,3465092.0,71695.0,204803.0,-5483481.0,-5688284.0,111384371.0,,968133.0,,5450104.0,0.0,91031840.0,91031840.0,,,,132355741.0,6157158.0
ADEL,2012,,54610053.0,0.0,,,346418.0,93484162.0,16136254.0,175550.0,17855965.0,0.0,,,,9840553.0,,7875000.0,1307174.5,8249453.0,-68996586.0,-4188750.0,-4188750.0,-10401230.0,1708557.0,,-19440111.0,-3306.0,-62985.0,2152682.5,,27333673.5,,,,,,,,0.0,0.0,0.0,790181.0,854486.0,116992.5,25964758.0,67126458.0,35366213.0,25964758.0,0.0,,67126458.0,,3.0,0.0,0.0,0.0,25964758.0,,37281811.0,37985711.0,,,0.0,-2016454.0,1263056.0,0.0,100856.0,0.0,,11848639.0,109272.0,13374985.0,6218423.0,0.0,314358.5,,0.0,25964758.0,0.0,0.0,15735944.0,4088511.0,,91515672.0,91515672.0,2308966.0,,,0.0,4088511.0,71695.0,232420.0,-6586621.0,-6819041.0,136123044.0,,1373916.0,,6378203.0,0.0,111340127.0,111340127.0,,,,162911678.0,7611179.0
ADEL,2013,,101469569.0,0.0,,,1888925.0,162536159.0,30524973.0,2232857.0,44533706.0,0.0,,,,38699751.0,,7875000.0,4800750.0,11382544.5,-96103392.0,-5540038.0,-5540038.0,-18422568.0,3615455.0,,-30321101.0,0.0,332040.0,22185758.5,,38095176.0,,,,,,,,0.0,0.0,0.0,928517.0,747661.0,116992.5,49662101.0,89996516.0,40011410.0,49662101.0,0.0,,89996516.0,,6.0,0.0,0.0,0.0,49662101.0,,41252847.0,63339658.0,,,0.0,-2019985.0,1170112.0,0.0,778548.0,21771581.0,,24083366.0,8905305.0,12979390.0,1500480.0,0.0,398800.5,,-1402363.0,49662101.0,0.0,0.0,40402979.0,23872084.0,,142794802.0,142794802.0,-6075832.0,-6075832.0,-6075832.0,5056283.0,0.0,1405059.0,1390301.0,-6318951.0,-7709252.0,186099908.0,,1140462.0,,8606613.0,0.0,207069865.0,207069865.0,,,,224920805.0,10014415.0
ADEL,2014,,101469569.0,0.0,,,1888925.0,162536159.0,30524973.0,2232857.0,44533706.0,0.0,,,,38699751.0,,7875000.0,4800750.0,11382544.5,-96103392.0,-5540038.0,-5540038.0,-18422568.0,3615455.0,,-30321101.0,0.0,332040.0,22185758.5,,38095176.0,,,,,,,,0.0,0.0,0.0,928517.0,747661.0,116992.5,49662101.0,89996516.0,40011410.0,49662101.0,0.0,,89996516.0,,6.0,0.0,0.0,0.0,49662101.0,,41252847.0,63339658.0,,,0.0,-2019985.0,1170112.0,0.0,778548.0,21771581.0,,24083366.0,8905305.0,12979390.0,1500480.0,0.0,398800.5,,-1402363.0,49662101.0,0.0,0.0,40402979.0,23872084.0,,142794802.0,142794802.0,-6075832.0,-6075832.0,-6075832.0,5056283.0,0.0,1405059.0,1390301.0,-6318951.0,-7709252.0,186099908.0,,1140462.0,,8606613.0,0.0,207069865.0,207069865.0,,,,224920805.0,10014415.0
ADEL,2015,,215710035.0,0.0,,,1443779.0,263405572.0,110536560.0,3965439.0,116350523.0,0.0,,,,63113002.0,,7875000.0,9243637.5,20807566.5,-134540648.0,-28096595.0,-28096595.0,-21608490.0,7898581.0,,-48648321.0,0.0,-1906955.0,69823822.5,,60122054.0,,,,,,,,0.0,0.0,0.0,716105.0,0.0,116992.5,71501290.0,117074041.0,43013678.0,71501290.0,0.0,,117074041.0,,3.0,0.0,0.0,3.0,71501290.0,,46817230.0,76680968.0,,,0.0,-5298230.0,1696597.0,0.0,1494678.0,54617413.0,,37664397.0,170760.0,12599591.0,4746235.0,0.0,384466.0,,0.0,71501290.0,0.0,0.0,168014498.0,5994980.0,,205746617.0,205746617.0,9260813.0,9260813.0,9260813.0,5994980.0,0.0,1740149.0,-14578.0,-7613323.0,-7598745.0,251614689.0,,9580117.0,,38996723.0,0.0,379756095.0,379756095.0,,,,305577325.0,13073993.0
ADEL,2016,-9080000.0,141167500.0,0.0,41367000.0,11383000.0,598000.0,196786000.0,107899000.0,4172000.0,114645000.0,0.0,,-43809000.0,78013000.0,11046000.0,11046000.0,23625000.0,6354000.0,26461500.0,-142851000.0,-25598000.0,-25598000.0,-21348000.0,11383000.0,-145000.0,-53127000.0,0.0,-774000.0,43094000.0,0.0,53915000.0,63241000.0,71923000.0,-107050000.0,-8682000.0,-6090000.0,-14021000.0,398000.0,0.0,0.0,0.0,725102.0,1294000.0,117000.0,18857000.0,129437000.0,52473000.0,18857000.0,0.0,18857000.0,129437000.0,60224000.0,1.0,1.0,1.0,1.0,18857000.0,,54962000.0,68886000.0,1170000.0,17789000.0,0.0,-6472000.0,2220500.0,0.0,3983000.0,-128000.0,28814000.0,24188000.0,448000.0,567000.0,4154000.0,0.0,399500.0,-30004000.0,161000.0,18857000.0,0.0,0.0,85549000.0,30391000.0,,195491000.0,195491000.0,4304000.0,4304000.0,4304000.0,6604000.0,0.0,1845000.0,-907000.0,-9710000.0,-8803000.0,272288000.0,,1659000.0,17000.0,84330000.0,0.0,311431000.0,311431000.0,54855000.0,-63025000.0,-43809000.0,330089489.0,14049993.0
ADEL,2017,-12689000.0,185323500.0,0.0,46003000.0,12001000.0,508000.0,241316000.0,109575000.0,3122000.0,114928000.0,0.0,,9281000.0,57450000.0,20327000.0,20327000.0,23625000.0,13105000.0,37555500.0,-176818000.0,-24571000.0,-24571000.0,-23332000.0,12001000.0,-65000.0,-62326000.0,0.0,-667000.0,50863000.0,0.0,56556500.0,35064000.0,47532000.0,-25783000.0,-12468000.0,-9918000.0,-24958000.0,221000.0,0.0,0.0,0.0,1297000.0,667000.0,117000.0,26870000.0,145579000.0,57036000.0,26870000.0,0.0,26870000.0,145579000.0,72873000.0,1.0,1.0,1.0,1.0,26870000.0,,59921000.0,69150000.0,1526000.0,-15423000.0,0.0,-4768000.0,1812000.0,0.0,1883000.0,-62000.0,32476000.0,31449000.0,822000.0,508000.0,10757000.0,0.0,658000.0,-17010000.0,-734000.0,26870000.0,0.0,0.0,129331000.0,21514000.0,,205399000.0,205399000.0,18759000.0,18759000.0,18759000.0,6705000.0,0.0,1823000.0,-105000.0,-6872000.0,-6767000.0,322397000.0,,2073000.0,3000.0,85913000.0,0.0,356244000.0,356244000.0,11046000.0,16185000.0,9281000.0,385646000.0,19159000.0
